seq,virtual_time_s,action,x,y,channel,result_type,direction_deg,clear_success,moved_distance_m,cumulative_distance_m
2,5.0,measure,0.0,0.0,1,direction,252.28,,0.0,0.0
3,11.0,measure,0.0,0.0,2,no_signal,,,0.0,0.0
4,17.0,measure,0.0,0.0,3,no_signal,,,0.0,0.0
5,23.0,measure,0.0,0.0,4,no_signal,,,0.0,0.0
6,29.0,measure,0.0,0.0,5,no_signal,,,0.0,0.0
7,35.0,measure,0.0,0.0,6,direction,47.43,,0.0,0.0
8,41.0,measure,0.0,0.0,7,direction,176.53,,0.0,0.0
9,47.0,measure,0.0,0.0,8,no_signal,,,0.0,0.0
10,53.0,measure,0.0,0.0,9,no_signal,,,0.0,0.0
11,59.0,measure,0.0,0.0,10,no_signal,,,0.0,0.0
12,65.0,measure,0.0,0.0,11,no_signal,,,0.0,0.0
13,71.0,measure,0.0,0.0,12,no_signal,,,0.0,0.0
14,77.0,measure,0.0,0.0,13,direction,219.65,,0.0,0.0
15,83.0,measure,0.0,0.0,14,direction,181.3,,0.0,0.0
16,89.0,measure,0.0,0.0,15,no_signal,,,0.0,0.0
17,95.0,measure,0.0,0.0,16,no_signal,,,0.0,0.0
18,101.0,measure,0.0,0.0,17,no_signal,,,0.0,0.0
19,107.0,measure,0.0,0.0,18,no_signal,,,0.0,0.0
20,113.0,measure,0.0,0.0,19,no_signal,,,0.0,0.0
21,119.0,measure,0.0,0.0,20,direction,181.91,,0.0,0.0
22,278.470089,measure,-403.29172061986094,-652.826541468885,13,direction,100.62,,767.3504448208483,767.3504448208483
23,325.324396,measure,-485.00000000000045,-840.0446416709053,20,direction,98.29,,204.27153488069905,971.6219797015474
24,331.324396,measure,-485.00000000000045,-840.0446416709053,19,no_signal,,,0.0,971.6219797015474
25,337.324396,measure,-485.00000000000045,-840.0446416709053,18,no_signal,,,0.0,971.6219797015474
26,343.324396,measure,-485.00000000000045,-840.0446416709053,17,no_signal,,,0.0,971.6219797015474
27,349.324396,measure,-485.00000000000045,-840.0446416709053,16,no_signal,,,0.0,971.6219797015474
28,355.324396,measure,-485.00000000000045,-840.0446416709053,15,no_signal,,,0.0,971.6219797015474
29,361.324396,measure,-485.00000000000045,-840.0446416709053,14,direction,80.38,,0.0,971.6219797015474
30,367.324396,measure,-485.00000000000045,-840.0446416709053,13,direction,86.54,,0.0,971.6219797015474
31,373.324396,measure,-485.00000000000045,-840.0446416709053,12,no_signal,,,0.0,971.6219797015474
32,379.324396,measure,-485.00000000000045,-840.0446416709053,11,no_signal,,,0.0,971.6219797015474
33,385.324396,measure,-485.00000000000045,-840.0446416709053,10,no_signal,,,0.0,971.6219797015474
34,391.324396,measure,-485.00000000000045,-840.0446416709053,9,direction,139.79,,0.0,971.6219797015474
35,397.324396,measure,-485.00000000000045,-840.0446416709053,8,no_signal,,,0.0,971.6219797015474
36,403.324396,measure,-485.00000000000045,-840.0446416709053,7,direction,123.01,,0.0,971.6219797015474
37,409.324396,measure,-485.00000000000045,-840.0446416709053,6,no_signal,,,0.0,971.6219797015474
38,415.324396,measure,-485.00000000000045,-840.0446416709053,5,no_signal,,,0.0,971.6219797015474
39,421.324396,measure,-485.00000000000045,-840.0446416709053,4,no_signal,,,0.0,971.6219797015474
40,427.324396,measure,-485.00000000000045,-840.0446416709053,3,no_signal,,,0.0,971.6219797015474
41,433.324396,measure,-485.00000000000045,-840.0446416709053,2,no_signal,,,0.0,971.6219797015474
42,439.324396,measure,-485.00000000000045,-840.0446416709053,1,direction,301.73,,0.0,971.6219797015474
43,537.10844,clear,-454.7294410197926,-377.113043765029,13,success,,1,463.9202205990403,1435.5422003005876
44,619.174496,clear,-343.8261028469742,-8.087468771290531,14,success,,1,385.3302809504255,1820.8724812510131
45,676.406586,clear,-604.719785620078,-19.88865381953494,20,success,,1,261.16045198202545,2082.0329332330384
46,754.570838,measure,-970.0,1.1879073951729327e-13,1,direction,300.93,,365.82125904353217,2447.8541922765708
47,760.570838,measure,-970.0,1.1879073951729327e-13,2,no_signal,,,0.0,2447.8541922765708
48,766.570838,measure,-970.0,1.1879073951729327e-13,3,no_signal,,,0.0,2447.8541922765708
49,772.570838,measure,-970.0,1.1879073951729327e-13,4,no_signal,,,0.0,2447.8541922765708
50,778.570838,measure,-970.0,1.1879073951729327e-13,5,no_signal,,,0.0,2447.8541922765708
51,784.570838,measure,-970.0,1.1879073951729327e-13,6,no_signal,,,0.0,2447.8541922765708
52,790.570838,measure,-970.0,1.1879073951729327e-13,7,direction,143.63,,0.0,2447.8541922765708
