seq,virtual_time_s,action,x,y,channel,result_type,direction_deg,clear_success,moved_distance_m,cumulative_distance_m
2,5.0,measure,0.0,0.0,1,no_signal,,,0.0,0.0
3,11.0,measure,0.0,0.0,2,no_signal,,,0.0,0.0
4,17.0,measure,0.0,0.0,3,no_signal,,,0.0,0.0
5,23.0,measure,0.0,0.0,4,no_signal,,,0.0,0.0
6,29.0,measure,0.0,0.0,5,no_signal,,,0.0,0.0
7,35.0,measure,0.0,0.0,6,direction,256.86,,0.0,0.0
8,41.0,measure,0.0,0.0,7,no_signal,,,0.0,0.0
9,47.0,measure,0.0,0.0,8,no_signal,,,0.0,0.0
10,53.0,measure,0.0,0.0,9,no_signal,,,0.0,0.0
11,59.0,measure,0.0,0.0,10,no_signal,,,0.0,0.0
12,65.0,measure,0.0,0.0,11,no_signal,,,0.0,0.0
13,71.0,measure,0.0,0.0,12,no_signal,,,0.0,0.0
14,77.0,measure,0.0,0.0,13,no_signal,,,0.0,0.0
15,83.0,measure,0.0,0.0,14,no_signal,,,0.0,0.0
16,89.0,measure,0.0,0.0,15,no_signal,,,0.0,0.0
17,95.0,measure,0.0,0.0,16,no_signal,,,0.0,0.0
18,101.0,measure,0.0,0.0,17,no_signal,,,0.0,0.0
19,107.0,measure,0.0,0.0,18,no_signal,,,0.0,0.0
20,113.0,measure,0.0,0.0,19,no_signal,,,0.0,0.0
21,119.0,measure,0.0,0.0,20,no_signal,,,0.0,0.0
22,318.0,measure,-484.9999999999998,840.0446416709055,20,no_signal,,,969.9999999999999,969.9999999999999
23,324.0,measure,-484.9999999999998,840.0446416709055,19,no_signal,,,0.0,969.9999999999999
24,330.0,measure,-484.9999999999998,840.0446416709055,18,no_signal,,,0.0,969.9999999999999
25,336.0,measure,-484.9999999999998,840.0446416709055,17,no_signal,,,0.0,969.9999999999999
26,342.0,measure,-484.9999999999998,840.0446416709055,16,no_signal,,,0.0,969.9999999999999
27,348.0,measure,-484.9999999999998,840.0446416709055,15,direction,165.91,,0.0,969.9999999999999
28,354.0,measure,-484.9999999999998,840.0446416709055,14,direction,169.56,,0.0,969.9999999999999
29,360.0,measure,-484.9999999999998,840.0446416709055,13,no_signal,,,0.0,969.9999999999999
30,366.0,measure,-484.9999999999998,840.0446416709055,12,direction,221.72,,0.0,969.9999999999999
31,372.0,measure,-484.9999999999998,840.0446416709055,11,no_signal,,,0.0,969.9999999999999
32,378.0,measure,-484.9999999999998,840.0446416709055,10,no_signal,,,0.0,969.9999999999999
33,384.0,measure,-484.9999999999998,840.0446416709055,9,no_signal,,,0.0,969.9999999999999
34,390.0,measure,-484.9999999999998,840.0446416709055,8,no_signal,,,0.0,969.9999999999999
35,396.0,measure,-484.9999999999998,840.0446416709055,7,no_signal,,,0.0,969.9999999999999
36,402.0,measure,-484.9999999999998,840.0446416709055,6,no_signal,,,0.0,969.9999999999999
37,408.0,measure,-484.9999999999998,840.0446416709055,5,no_signal,,,0.0,969.9999999999999
38,414.0,measure,-484.9999999999998,840.0446416709055,4,no_signal,,,0.0,969.9999999999999
39,420.0,measure,-484.9999999999998,840.0446416709055,3,no_signal,,,0.0,969.9999999999999
40,426.0,measure,-484.9999999999998,840.0446416709055,2,no_signal,,,0.0,969.9999999999999
41,432.0,measure,-484.9999999999998,840.0446416709055,1,no_signal,,,0.0,969.9999999999999
42,593.824401,measure,-864.1230939467429,159.385563467219,12,no_signal,,,779.1220065592059,1749.1220065592058
43,668.417196,measure,-858.2029638014246,507.2991716644269,12,direction,221.11,,347.9639732928365,2097.0859798520423
44,699.00818,measure,-968.1987294589401,452.35516493293335,15,direction,84.07,,122.95491994342262,2220.040899795465
45,803.789584,clear,-916.8145548436803,948.6090122763853,15,success,,1,498.9070197983484,2718.9479195938134
46,919.594829,measure,-1455.0,840.0446416709053,20,no_signal,,,549.026225186985,3267.9741447807983
47,925.594829,measure,-1455.0,840.0446416709053,19,no_signal,,,0.0,3267.9741447807983
48,931.594829,measure,-1455.0,840.0446416709053,18,no_signal,,,0.0,3267.9741447807983
49,937.594829,measure,-1455.0,840.0446416709053,17,no_signal,,,0.0,3267.9741447807983
50,943.594829,measure,-1455.0,840.0446416709053,16,no_signal,,,0.0,3267.9741447807983
51,949.594829,measure,-1455.0,840.0446416709053,14,no_signal,,,0.0,3267.9741447807983
52,955.594829,measure,-1455.0,840.0446416709053,13,no_signal,,,0.0,3267.9741447807983
53,961.594829,measure,-1455.0,840.0446416709053,12,direction,317.56,,0.0,3267.9741447807983
54,967.594829,measure,-1455.0,840.0446416709053,11,no_signal,,,0.0,3267.9741447807983
55,973.594829,measure,-1455.0,840.0446416709053,10,no_signal,,,0.0,3267.9741447807983
56,979.594829,measure,-1455.0,840.0446416709053,9,no_signal,,,0.0,3267.9741447807983
57,985.594829,measure,-1455.0,840.0446416709053,8,no_signal,,,0.0,3267.9741447807983
58,991.594829,measure,-1455.0,840.0446416709053,7,no_signal,,,0.0,3267.9741447807983
59,997.594829,measure,-1455.0,840.0446416709053,6,no_signal,,,0.0,3267.9741447807983
60,1003.594829,measure,-1455.0,840.0446416709053,5,no_signal,,,0.0,3267.9741447807983
61,1009.594829,measure,-1455.0,840.0446416709053,4,no_signal,,,0.0,3267.9741447807983
62,1015.594829,measure,-1455.0,840.0446416709053,3,no_signal,,,0.0,3267.9741447807983
63,1021.594829,measure,-1455.0,840.0446416709053,2,no_signal,,,0.0,3267.9741447807983
64,1027.594829,measure,-1455.0,840.0446416709053,1,no_signal,,,0.0,3267.9741447807983
65,1061.594829,measure,-1576.2435565298215,910.0446416709053,20,no_signal,,,140.00000000000009,3407.9741447807983
66,1067.594829,measure,-1576.2435565298215,910.0446416709053,19,no_signal,,,0.0,3407.9741447807983
67,1073.594829,measure,-1576.2435565298215,910.0446416709053,18,no_signal,,,0.0,3407.9741447807983
68,1079.594829,measure,-1576.2435565298215,910.0446416709053,17,no_signal,,,0.0,3407.9741447807983
69,1085.594829,measure,-1576.2435565298215,910.0446416709053,16,no_signal,,,0.0,3407.9741447807983
70,1091.594829,measure,-1576.2435565298215,910.0446416709053,14,no_signal,,,0.0,3407.9741447807983
71,1097.594829,measure,-1576.2435565298215,910.0446416709053,13,no_signal,,,0.0,3407.9741447807983
72,1103.594829,measure,-1576.2435565298215,910.0446416709053,12,direction,319.66,,0.0,3407.9741447807983
73,1109.594829,measure,-1576.2435565298215,910.0446416709053,11,no_signal,,,0.0,3407.9741447807983
74,1115.594829,measure,-1576.2435565298215,910.0446416709053,10,no_signal,,,0.0,3407.9741447807983
75,1121.594829,measure,-1576.2435565298215,910.0446416709053,9,no_signal,,,0.0,3407.9741447807983
76,1127.594829,measure,-1576.2435565298215,910.0446416709053,8,no_signal,,,0.0,3407.9741447807983
77,1133.594829,measure,-1576.2435565298215,910.0446416709053,7,no_signal,,,0.0,3407.9741447807983
78,1139.594829,measure,-1576.2435565298215,910.0446416709053,6,no_signal,,,0.0,3407.9741447807983
79,1145.594829,measure,-1576.2435565298215,910.0446416709053,5,no_signal,,,0.0,3407.9741447807983
80,1151.594829,measure,-1576.2435565298215,910.0446416709053,4,no_signal,,,0.0,3407.9741447807983
81,1157.594829,measure,-1576.2435565298215,910.0446416709053,3,no_signal,,,0.0,3407.9741447807983
