seq,virtual_time_s,action,x,y,channel,result_type,direction_deg,clear_success,moved_distance_m,cumulative_distance_m
2,5.0,measure,0.0,0.0,1,no_signal,,,0.0,0.0
3,11.0,measure,0.0,0.0,2,no_signal,,,0.0,0.0
4,17.0,measure,0.0,0.0,3,no_signal,,,0.0,0.0
5,23.0,measure,0.0,0.0,4,no_signal,,,0.0,0.0
6,29.0,measure,0.0,0.0,5,no_signal,,,0.0,0.0
7,35.0,measure,0.0,0.0,6,no_signal,,,0.0,0.0
8,41.0,measure,0.0,0.0,7,no_signal,,,0.0,0.0
9,47.0,measure,0.0,0.0,8,no_signal,,,0.0,0.0
10,53.0,measure,0.0,0.0,9,direction,313.07,,0.0,0.0
11,59.0,measure,0.0,0.0,10,direction,302.56,,0.0,0.0
12,65.0,measure,0.0,0.0,11,direction,178.42,,0.0,0.0
13,71.0,measure,0.0,0.0,12,direction,144.27,,0.0,0.0
14,77.0,measure,0.0,0.0,13,no_signal,,,0.0,0.0
15,83.0,measure,0.0,0.0,14,direction,216.47,,0.0,0.0
16,89.0,measure,0.0,0.0,15,no_signal,,,0.0,0.0
17,95.0,measure,0.0,0.0,16,no_signal,,,0.0,0.0
18,101.0,measure,0.0,0.0,17,direction,189.88,,0.0,0.0
19,107.0,measure,0.0,0.0,18,no_signal,,,0.0,0.0
20,113.0,measure,0.0,0.0,19,no_signal,,,0.0,0.0
21,119.0,measure,0.0,0.0,20,direction,309.38,,0.0,0.0
22,319.0,measure,485.0000000000001,840.0446416709054,1,no_signal,,,970.0,970.0
23,325.0,measure,485.0000000000001,840.0446416709054,2,no_signal,,,0.0,970.0
24,331.0,measure,485.0000000000001,840.0446416709054,3,no_signal,,,0.0,970.0
25,337.0,measure,485.0000000000001,840.0446416709054,4,no_signal,,,0.0,970.0
26,343.0,measure,485.0000000000001,840.0446416709054,5,no_signal,,,0.0,970.0
27,349.0,measure,485.0000000000001,840.0446416709054,6,no_signal,,,0.0,970.0
28,355.0,measure,485.0000000000001,840.0446416709054,7,no_signal,,,0.0,970.0
29,361.0,measure,485.0000000000001,840.0446416709054,8,no_signal,,,0.0,970.0
30,367.0,measure,485.0000000000001,840.0446416709054,9,no_signal,,,0.0,970.0
31,373.0,measure,485.0000000000001,840.0446416709054,10,direction,258.62,,0.0,970.0
32,379.0,measure,485.0000000000001,840.0446416709054,11,no_signal,,,0.0,970.0
33,385.0,measure,485.0000000000001,840.0446416709054,12,no_signal,,,0.0,970.0
34,391.0,measure,485.0000000000001,840.0446416709054,13,no_signal,,,0.0,970.0
35,397.0,measure,485.0000000000001,840.0446416709054,14,no_signal,,,0.0,970.0
36,403.0,measure,485.0000000000001,840.0446416709054,15,no_signal,,,0.0,970.0
37,409.0,measure,485.0000000000001,840.0446416709054,16,no_signal,,,0.0,970.0
38,415.0,measure,485.0000000000001,840.0446416709054,17,no_signal,,,0.0,970.0
39,421.0,measure,485.0000000000001,840.0446416709054,18,no_signal,,,0.0,970.0
40,427.0,measure,485.0000000000001,840.0446416709054,19,direction,152.47,,0.0,970.0
41,433.0,measure,485.0000000000001,840.0446416709054,20,no_signal,,,0.0,970.0
42,632.0,measure,-484.9999999999998,840.0446416709055,20,no_signal,,,969.9999999999999,1940.0
43,638.0,measure,-484.9999999999998,840.0446416709055,19,direction,98.26,,0.0,1940.0
44,644.0,measure,-484.9999999999998,840.0446416709055,18,no_signal,,,0.0,1940.0
45,650.0,measure,-484.9999999999998,840.0446416709055,17,direction,261.31,,0.0,1940.0
46,656.0,measure,-484.9999999999998,840.0446416709055,16,no_signal,,,0.0,1940.0
47,662.0,measure,-484.9999999999998,840.0446416709055,15,no_signal,,,0.0,1940.0
48,668.0,measure,-484.9999999999998,840.0446416709055,14,no_signal,,,0.0,1940.0
49,674.0,measure,-484.9999999999998,840.0446416709055,13,no_signal,,,0.0,1940.0
50,680.0,measure,-484.9999999999998,840.0446416709055,12,direction,194.85,,0.0,1940.0
51,686.0,measure,-484.9999999999998,840.0446416709055,11,direction,228.81,,0.0,1940.0
52,692.0,measure,-484.9999999999998,840.0446416709055,10,no_signal,,,0.0,1940.0
53,698.0,measure,-484.9999999999998,840.0446416709055,9,no_signal,,,0.0,1940.0
54,704.0,measure,-484.9999999999998,840.0446416709055,8,no_signal,,,0.0,1940.0
55,710.0,measure,-484.9999999999998,840.0446416709055,7,no_signal,,,0.0,1940.0
56,716.0,measure,-484.9999999999998,840.0446416709055,6,no_signal,,,0.0,1940.0
57,722.0,measure,-484.9999999999998,840.0446416709055,5,no_signal,,,0.0,1940.0
58,728.0,measure,-484.9999999999998,840.0446416709055,4,no_signal,,,0.0,1940.0
59,734.0,measure,-484.9999999999998,840.0446416709055,3,no_signal,,,0.0,1940.0
60,740.0,measure,-484.9999999999998,840.0446416709055,2,no_signal,,,0.0,1940.0
61,746.0,measure,-484.9999999999998,840.0446416709055,1,no_signal,,,0.0,1940.0
62,807.229425,measure,-751.9238370523161,769.2710686807429,12,direction,194.95,,276.14712278154445,2216.1471227815446
63,839.383448,measure,-883.0983136674862,734.2456349503726,12,direction,193.72,,135.77011572236492,2351.9172385039096
64,857.967556,measure,-949.0808371200281,718.1364265261319,12,direction,197.3,,67.92054179127899,2419.8377802951886
65,868.274565,clear,-974.5022426817228,710.5298058940755,12,success,,1,26.53504358715445,2446.3728238823433
66,933.115733,measure,-814.2790644559595,463.77971145416603,11,direction,229.32,,294.2058394166726,2740.5786632990157
67,994.526764,measure,-558.9459270993564,356.24112257931387,17,direction,261.79,,277.0551553924966,3017.6338186915123
68,1094.218544,measure,-1011.3195513017904,234.53719884122603,11,direction,229.49,,468.45889993391233,3486.092718625425
69,1128.917105,measure,-1107.7776205089017,121.63921637731329,11,direction,229.69,,148.4928064236979,3634.5855250491227
70,1148.50099,measure,-1154.9508633699947,66.03411462946868,11,direction,228.7,,72.9194225321335,3707.504947581256
71,1160.794663,measure,-1179.0200448030646,38.636740332947504,11,direction,228.77,,36.468364553427854,3743.973312134684
72,1169.382226,clear,-1191.0773591484954,25.355688000661544,11,success,,1,17.937814255852047,3761.911126390536
73,1219.887556,measure,-970.0,1.1879073951729327e-13,1,no_signal,,,222.52664928511302,3984.437775675649
74,1225.887556,measure,-970.0,1.1879073951729327e-13,2,no_signal,,,0.0,3984.437775675649
75,1231.887556,measure,-970.0,1.1879073951729327e-13,3,no_signal,,,0.0,3984.437775675649
76,1237.887556,measure,-970.0,1.1879073951729327e-13,4,no_signal,,,0.0,3984.437775675649
77,1243.887556,measure,-970.0,1.1879073951729327e-13,5,no_signal,,,0.0,3984.437775675649
78,1249.887556,measure,-970.0,1.1879073951729327e-13,6,no_signal,,,0.0,3984.437775675649
79,1255.887556,measure,-970.0,1.1879073951729327e-13,7,no_signal,,,0.0,3984.437775675649
80,1261.887556,measure,-970.0,1.1879073951729327e-13,8,no_signal,,,0.0,3984.437775675649
81,1267.887556,measure,-970.0,1.1879073951729327e-13,9,no_signal,,,0.0,3984.437775675649
82,1273.887556,measure,-970.0,1.1879073951729327e-13,10,direction,341.62,,0.0,3984.437775675649
83,1279.887556,measure,-970.0,1.1879073951729327e-13,13,no_signal,,,0.0,3984.437775675649
84,1285.887556,measure,-970.0,1.1879073951729327e-13,14,direction,281.42,,0.0,3984.437775675649
